Renewal_ID,Policy_ID,Customer_ID,Product_ID,Expiry_Date,Renewal_Date,Renewal_Status,Renewed_Flag,Previous_Premium,New_Premium,Customer_Type,Customer_Segment,Emirate
REN-0000023,POL-000032,CUST-00016,PROD021,2025-07-01,2025-07-31,Not Renewed,0,288.61,0.0,Individual,Mass Market,Ajman
REN-0000024,POL-000036,CUST-00017,PROD025,2026-04-09,2026-04-23,Customer Cancelled,0,515.37,0.0,Individual,Affluent,Dubai
REN-0000025,POL-000037,CUST-00018,PROD022,2020-04-23,2020-04-20,Renewed,1,699.94,721.4,Individual,Affluent,Ras Al Khaimah
REN-0000026,POL-000038,CUST-00018,PROD018,2026-02-02,2026-02-08,Renewed,1,3776.78,4212.47,Individual,Affluent,Ras Al Khaimah
REN-0000027,POL-000040,CUST-00020,PROD017,2025-01-14,2025-01-08,Renewed,1,1473.76,1681.79,Individual,Mass Market,Dubai
REN-0000028,POL-000041,CUST-00020,PROD021,2024-05-12,2024-05-29,Renewed,1,268.23,304.06,Individual,Mass Market,Dubai
REN-0000029,POL-000042,CUST-00021,PROD020,2023-08-08,2023-08-31,Renewed,1,2606.06,2714.08,Individual,Mass Market,Dubai
REN-0000030,POL-000043,CUST-00022,PROD021,2023-08-04,2023-08-17,Renewed,1,421.96,468.34,Individual,High Net Worth,Dubai
REN-0000031,POL-000044,CUST-00022,PROD019,2026-03-20,2026-03-31,Renewed,1,3409.79,3875.11,Individual,High Net Worth,Dubai
REN-0000032,POL-000046,CUST-00023,PROD020,2024-04-24,2024-05-20,Renewed,1,1694.26,1942.65,Individual,Affluent,Sharjah
REN-0000033,POL-000049,CUST-00024,PROD023,2026-02-08,2026-02-02,Renewed,1,1409.91,1547.17,Individual,Affluent,Ras Al Khaimah
REN-0000034,POL-000050,CUST-00025,PROD017,2019-12-13,2020-01-10,Renewed,1,981.36,1015.56,Individual,Mass Market,Dubai
REN-0000035,POL-000051,CUST-00026,PROD012,2025-06-13,2025-06-28,Renewed,1,6793.2,7017.72,SME,SME,Dubai
REN-0000036,POL-000052,CUST-00026,PROD024,2024-07-20,2024-08-10,Lost to Competitor,0,21594.61,0.0,SME,SME,Dubai
REN-0000037,POL-000053,CUST-00026,PROD011,2024-07-09,2024-07-30,Lost to Competitor,0,5621.89,0.0,SME,SME,Dubai
REN-0000038,POL-000054,CUST-00027,PROD017,2023-12-16,2024-01-13,Renewed,1,1133.96,1223.82,Individual,High Net Worth,Abu Dhabi
REN-0000039,POL-000055,CUST-00027,PROD016,2021-06-02,2021-06-27,Renewed,1,1451.58,1659.36,Individual,High Net Worth,Abu Dhabi
REN-0000040,POL-000056,CUST-00027,PROD022,2022-05-17,2022-05-28,Renewed,1,981.25,1114.36,Individual,High Net Worth,Abu Dhabi
REN-0000041,POL-000057,CUST-00027,PROD018,2022-05-01,2022-04-26,Renewed,1,6234.58,6763.17,Individual,High Net Worth,Abu Dhabi
REN-0000042,POL-000060,CUST-00029,PROD020,2026-06-25,2026-07-04,Renewed,1,1601.02,1820.53,Individual,Mass Market,Abu Dhabi
REN-0000043,POL-000061,CUST-00030,PROD016,2025-09-23,2025-10-10,Renewed,1,672.51,721.44,Individual,Mass Market,Dubai
REN-0000044,POL-000062,CUST-00031,PROD017,2025-06-11,2025-06-01,Renewed,1,1554.41,1643.56,Individual,Mass Market,Dubai
REN-0000045,POL-000063,CUST-00031,PROD023,2024-12-08,2024-12-10,Renewed,1,933.19,1057.57,Individual,Mass Market,Dubai
REN-0000046,POL-000065,CUST-00032,PROD021,2023-06-28,2023-06-25,Lost to Competitor,0,263.42,0.0,Individual,Affluent,Abu Dhabi
REN-0000047,POL-000066,CUST-00033,PROD019,2023-05-01,2023-05-23,Renewed,1,1944.5,2030.8,Individual,High Net Worth,Umm Al Quwain
REN-0000048,POL-000069,CUST-00034,PROD005,2024-06-09,2024-06-13,Renewed,1,16599.57,17432.78,Corporate,Corporate,Abu Dhabi
REN-0000049,POL-000070,CUST-00035,PROD001,2025-12-15,2025-12-28,Renewed,1,20836.25,23219.13,Corporate,Corporate,Umm Al Quwain
REN-0000050,POL-000071,CUST-00035,PROD006,2024-10-24,2024-10-25,Renewed,1,33767.52,35800.79,Corporate,Corporate,Umm Al Quwain
REN-0000051,POL-000072,CUST-00035,PROD002,2026-07-10,2026-08-05,Renewed,1,21616.18,23003.53,Corporate,Corporate,Umm Al Quwain
REN-0000052,POL-000073,CUST-00035,PROD015,2026-01-15,2026-01-06,Lost to Competitor,0,25315.11,0.0,Corporate,Corporate,Umm Al Quwain
REN-0000053,POL-000074,CUST-00036,PROD008,2022-03-10,2022-04-05,Not Renewed,0,12166.94,0.0,SME,SME,Sharjah
REN-0000054,POL-000075,CUST-00036,PROD011,2025-11-10,2025-11-01,Renewed,1,6811.07,7449.35,SME,SME,Sharjah
REN-0000055,POL-000076,CUST-00037,PROD021,2026-07-03,2026-06-28,Renewed,1,307.05,325.18,Individual,Mass Market,Dubai
REN-0000056,POL-000078,CUST-00039,PROD018,2022-09-26,2022-09-26,Renewed,1,5878.94,6316.09,Individual,High Net Worth,Dubai
REN-0000057,POL-000079,CUST-00039,PROD023,2024-10-03,2024-10-30,Renewed,1,1666.07,1789.58,Individual,High Net Worth,Dubai
REN-0000058,POL-000080,CUST-00040,PROD025,2026-03-09,2026-03-04,Renewed,1,465.44,501.68,Individual,Mass Market,Dubai
REN-0000059,POL-000082,CUST-00042,PROD017,2025-01-03,2025-01-08,Renewed,1,2185.95,2470.64,Individual,Mass Market,Sharjah
REN-0000060,POL-000083,CUST-00043,PROD019,2026-05-07,2026-05-02,Renewed,1,2426.35,2701.73,Individual,Mass Market,Sharjah
REN-0000061,POL-000084,CUST-00043,PROD017,2026-03-07,2026-04-01,Renewed,1,1529.49,1578.42,Individual,Mass Market,Sharjah
REN-0000062,POL-000085,CUST-00044,PROD013,2025-04-12,2025-04-20,Renewed,1,14697.14,15752.98,SME,SME,Abu Dhabi
REN-0000063,POL-000086,CUST-00045,PROD021,2023-06-17,2023-07-17,Lost to Competitor,0,304.01,0.0,Individual,Affluent,Abu Dhabi
REN-0000064,POL-000087,CUST-00045,PROD018,2025-04-09,2025-04-16,Renewed,1,4914.19,5555.62,Individual,Affluent,Abu Dhabi
REN-0000065,POL-000088,CUST-00046,PROD025,2025-11-24,2025-12-08,Renewed,1,221.22,233.41,Individual,Mass Market,Abu Dhabi
REN-0000066,POL-000089,CUST-00047,PROD023,2024-08-04,2024-08-28,Renewed,1,958.92,1013.99,Individual,Mass Market,Sharjah
REN-0000067,POL-000090,CUST-00048,PROD021,2022-09-30,2022-09-21,Customer Cancelled,0,391.93,0.0,Individual,Mass Market,Dubai
REN-0000068,POL-000091,CUST-00048,PROD019,2024-09-10,2024-09-04,Renewed,1,2458.56,2797.96,Individual,Mass Market,Dubai
REN-0000069,POL-000092,CUST-00048,PROD025,2023-05-02,2023-04-30,Renewed,1,495.52,526.97,Individual,Mass Market,Dubai
REN-0000070,POL-000093,CUST-00049,PROD021,2026-03-14,2026-03-19,Renewed,1,496.87,565.27,Individual,Mass Market,Abu Dhabi
REN-0000071,POL-000094,CUST-00049,PROD016,2026-08-04,2026-08-26,Renewed,1,1210.82,1340.43,Individual,Mass Market,Abu Dhabi
REN-0000072,POL-000096,CUST-00050,PROD025,2026-03-28,2026-03-25,Lost to Competitor,0,333.28,0.0,Individual,Mass Market,Fujairah
REN-0000073,POL-000097,CUST-00051,PROD004,2024-01-05,2024-01-29,Renewed,1,20701.39,22247.24,Corporate,Corporate,Abu Dhabi
REN-0000074,POL-000098,CUST-00051,PROD006,2023-01-26,2023-02-09,Renewed,1,41540.42,42811.86,Corporate,Corporate,Abu Dhabi
REN-0000075,POL-000099,CUST-00051,PROD002,2025-10-18,2025-10-25,Not Renewed,0,28422.69,0.0,Corporate,Corporate,Abu Dhabi
REN-0000076,POL-000100,CUST-00051,PROD001,2025-08-30,2025-09-29,Renewed,1,20823.6,21887.92,Corporate,Corporate,Abu Dhabi
REN-0000077,POL-000102,CUST-00052,PROD012,2026-05-13,2026-05-16,Not Renewed,0,3962.16,0.0,SME,SME,Abu Dhabi
REN-0000078,POL-000103,CUST-00052,PROD014,2021-05-05,2021-05-02,Renewed,1,11305.75,12797.06,SME,SME,Abu Dhabi
REN-0000079,POL-000104,CUST-00053,PROD010,2025-07-14,2025-08-05,Renewed,1,12052.72,13198.99,Corporate,Corporate,Abu Dhabi
REN-0000080,POL-000105,CUST-00053,PROD004,2026-06-18,2026-06-29,Renewed,1,41609.33,44181.8,Corporate,Corporate,Abu Dhabi
REN-0000081,POL-000106,CUST-00053,PROD015,2026-06-11,2026-07-08,Customer Cancelled,0,37518.33,0.0,Corporate,Corporate,Abu Dhabi
REN-0000082,POL-000107,CUST-00053,PROD001,2024-10-20,2024-10-17,Renewed,1,17379.66,19217.33,Corporate,Corporate,Abu Dhabi
REN-0000083,POL-000108,CUST-00053,PROD009,2025-03-21,2025-04-09,Renewed,1,14962.45,16569.6,Corporate,Corporate,Abu Dhabi
REN-0000084,POL-000109,CUST-00053,PROD002,2023-06-10,2023-07-02,Renewed,1,25942.64,27328.73,Corporate,Corporate,Abu Dhabi
REN-0000085,POL-000110,CUST-00054,PROD007,2024-09-19,2024-09-27,Renewed,1,8813.3,9682.65,SME,SME,Dubai
REN-0000086,POL-000111,CUST-00054,PROD024,2021-05-10,2021-05-16,Renewed,1,8552.49,9829.77,SME,SME,Dubai
REN-0000087,POL-000112,CUST-00054,PROD014,2022-12-31,2022-12-26,Renewed,1,6926.11,7441.54,SME,SME,Dubai
REN-0000088,POL-000113,CUST-00054,PROD008,2023-07-06,2023-07-19,Not Renewed,0,8652.77,0.0,SME,SME,Dubai
REN-0000089,POL-000114,CUST-00055,PROD022,2026-07-24,2026-08-13,Renewed,1,749.01,858.09,Individual,Mass Market,Abu Dhabi
REN-0000090,POL-000115,CUST-00055,PROD018,2025-11-10,2025-11-20,Renewed,1,3926.36,4134.1,Individual,Mass Market,Abu Dhabi
REN-0000091,POL-000121,CUST-00057,PROD017,2022-09-17,2022-09-09,Renewed,1,2251.67,2365.02,Individual,Mass Market,Dubai
REN-0000092,POL-000123,CUST-00059,PROD025,2024-06-25,2024-07-15,Renewed,1,249.44,282.19,Individual,Affluent,Abu Dhabi
REN-0000093,POL-000124,CUST-00059,PROD017,2024-07-13,2024-07-26,Renewed,1,1634.67,1724.69,Individual,Affluent,Abu Dhabi
REN-0000094,POL-000128,CUST-00061,PROD021,2025-06-03,2025-06-15,Renewed,1,491.5,514.51,Individual,Mass Market,Dubai
REN-0000095,POL-000130,CUST-00062,PROD022,2026-08-02,2026-07-24,Renewed,1,584.74,624.92,Individual,Mass Market,Ras Al Khaimah
REN-0000096,POL-000131,CUST-00063,PROD008,2024-10-28,2024-10-26,Renewed,1,12760.64,14219.16,SME,SME,Abu Dhabi
REN-0000097,POL-000132,CUST-00063,PROD024,2024-10-14,2024-11-01,Renewed,1,4479.94,4773.74,SME,SME,Abu Dhabi
REN-0000098,POL-000133,CUST-00064,PROD025,2025-08-04,2025-08-18,Renewed,1,294.31,324.74,Individual,Mass Market,Abu Dhabi
REN-0000099,POL-000134,CUST-00065,PROD022,2024-12-16,2024-12-12,Lost to Competitor,0,949.94,0.0,Individual,Affluent,Dubai
REN-0000100,POL-000135,CUST-00065,PROD020,2026-02-02,2026-01-23,Renewed,1,1747.61,1814.92,Individual,Affluent,Dubai
REN-0000101,POL-000138,CUST-00067,PROD019,2024-04-07,2024-04-10,Renewed,1,2201.89,2503.11,Individual,Mass Market,Abu Dhabi
REN-0000102,POL-000139,CUST-00067,PROD018,2025-10-25,2025-11-11,Renewed,1,691.32,760.08,Individual,Mass Market,Abu Dhabi
REN-0000103,POL-000140,CUST-00068,PROD007,2025-11-18,2025-11-29,Renewed,1,3243.03,3468.03,SME,SME,Abu Dhabi
REN-0000104,POL-000141,CUST-00068,PROD008,2023-12-09,2023-12-20,Lost to Competitor,0,10560.81,0.0,SME,SME,Abu Dhabi
REN-0000105,POL-000142,CUST-00068,PROD024,2025-02-17,2025-02-12,Not Renewed,0,4813.04,0.0,SME,SME,Abu Dhabi
REN-0000106,POL-000143,CUST-00069,PROD021,2024-08-09,2024-09-04,Renewed,1,218.81,239.09,Individual,Mass Market,Abu Dhabi
REN-0000107,POL-000144,CUST-00069,PROD018,2024-12-04,2024-11-28,Renewed,1,2769.51,3004.56,Individual,Mass Market,Abu Dhabi
REN-0000108,POL-000145,CUST-00070,PROD006,2022-09-05,2022-09-26,Renewed,1,47407.11,51852.12,Corporate,Corporate,Fujairah
REN-0000109,POL-000146,CUST-00070,PROD005,2026-05-07,2026-06-05,Renewed,1,38263.74,42745.61,Corporate,Corporate,Fujairah
REN-0000110,POL-000148,CUST-00072,PROD017,2025-12-06,2025-12-25,Renewed,1,875.87,906.46,Individual,Mass Market,Abu Dhabi
REN-0000111,POL-000149,CUST-00073,PROD017,2025-04-17,2025-04-25,Renewed,1,1709.68,1851.03,Individual,Affluent,Dubai
REN-0000112,POL-000150,CUST-00073,PROD022,2025-09-07,2025-10-03,Not Renewed,0,697.81,0.0,Individual,Affluent,Dubai
REN-0000113,POL-000155,CUST-00076,PROD024,2026-04-10,2026-04-08,Lost to Competitor,0,14926.01,0.0,SME,SME,Sharjah
REN-0000114,POL-000158,CUST-00078,PROD025,2024-07-25,2024-07-15,Not Renewed,0,227.0,0.0,Individual,Mass Market,Dubai
REN-0000115,POL-000161,CUST-00080,PROD018,2025-08-26,2025-09-09,Renewed,1,1691.91,1876.71,Individual,Affluent,Abu Dhabi
REN-0000116,POL-000162,CUST-00081,PROD008,2023-01-20,2023-01-25,Renewed,1,11637.9,12708.63,SME,SME,Abu Dhabi
REN-0000117,POL-000163,CUST-00081,PROD014,2024-06-29,2024-06-23,Renewed,1,11330.91,12502.6,SME,SME,Abu Dhabi
REN-0000118,POL-000164,CUST-00081,PROD013,2021-04-02,2021-04-03,Renewed,1,9106.45,9998.19,SME,SME,Abu Dhabi
REN-0000119,POL-000165,CUST-00081,PROD024,2022-01-08,2022-01-19,Not Renewed,0,7751.78,0.0,SME,SME,Abu Dhabi
REN-0000120,POL-000166,CUST-00082,PROD019,2026-02-20,2026-02-14,Renewed,1,2167.93,2257.46,Individual,Mass Market,Sharjah
REN-0000121,POL-000167,CUST-00083,PROD025,2021-09-03,2021-08-28,Renewed,1,463.14,503.39,Individual,Mass Market,Abu Dhabi
REN-0000122,POL-000170,CUST-00085,PROD022,2023-11-04,2023-11-14,Not Renewed,0,486.36,0.0,Individual,Mass Market,Abu Dhabi
REN-0000123,POL-000172,CUST-00086,PROD023,2026-04-15,2026-05-04,Lost to Competitor,0,981.83,0.0,Individual,Mass Market,Abu Dhabi
REN-0000124,POL-000175,CUST-00088,PROD018,2024-04-21,2024-04-15,Customer Cancelled,0,2511.85,0.0,Individual,Mass Market,Dubai
REN-0000125,POL-000178,CUST-00090,PROD020,2025-09-19,2025-09-18,Renewed,1,2374.89,2624.5,Individual,Mass Market,Dubai
REN-0000126,POL-000180,CUST-00092,PROD023,2026-01-27,2026-01-17,Renewed,1,292.47,320.17,Individual,Mass Market,Dubai
REN-0000127,POL-000181,CUST-00093,PROD007,2025-03-16,2025-03-21,Renewed,1,2219.61,2304.99,SME,SME,Dubai
REN-0000128,POL-000182,CUST-00093,PROD011,2024-06-05,2024-06-22,Renewed,1,1600.4,1760.91,SME,SME,Dubai
REN-0000129,POL-000183,CUST-00094,PROD020,2026-04-10,2026-04-23,Renewed,1,1037.53,1152.97,Individual,Mass Market,Abu Dhabi
REN-0000130,POL-000187,CUST-00096,PROD023,2023-01-28,2023-02-19,Renewed,1,1248.26,1354.35,Individual,Mass Market,Abu Dhabi
REN-0000131,POL-000188,CUST-00097,PROD025,2024-02-08,2024-03-05,Renewed,1,473.73,523.53,Individual,Mass Market,Sharjah
REN-0000132,POL-000189,CUST-00097,PROD019,2023-08-22,2023-09-20,Renewed,1,4246.32,4835.04,Individual,Mass Market,Sharjah
REN-0000133,POL-000190,CUST-00097,PROD020,2025-08-09,2025-08-11,Renewed,1,3364.79,3552.38,Individual,Mass Market,Sharjah
REN-0000134,POL-000191,CUST-00098,PROD023,2024-11-24,2024-12-18,Renewed,1,1048.46,1122.26,Individual,High Net Worth,Sharjah
REN-0000135,POL-000192,CUST-00099,PROD025,2024-09-24,2024-10-12,Renewed,1,368.27,416.66,Individual,Mass Market,Dubai
REN-0000136,POL-000193,CUST-00100,PROD022,2025-07-12,2025-08-04,Not Renewed,0,448.64,0.0,Individual,Mass Market,Dubai
REN-0000137,POL-000194,CUST-00100,PROD021,2022-10-17,2022-10-17,Renewed,1,234.4,266.11,Individual,Mass Market,Dubai
REN-0000138,POL-000195,CUST-00101,PROD017,2025-05-09,2025-05-19,Renewed,1,964.55,1105.48,Individual,Mass Market,Ras Al Khaimah
REN-0000139,POL-000197,CUST-00103,PROD021,2025-11-15,2025-12-11,Renewed,1,694.59,777.99,Individual,Affluent,Abu Dhabi
REN-0000140,POL-000198,CUST-00103,PROD016,2026-05-13,2026-06-06,Renewed,1,1849.62,1996.69,Individual,Affluent,Abu Dhabi
REN-0000141,POL-000199,CUST-00104,PROD020,2025-09-01,2025-09-29,Renewed,1,903.92,994.01,Individual,Affluent,Abu Dhabi
REN-0000142,POL-000200,CUST-00104,PROD023,2025-11-01,2025-11-22,Renewed,1,610.54,691.75,Individual,Affluent,Abu Dhabi
REN-0000143,POL-000201,CUST-00105,PROD007,2026-02-03,2026-02-05,Renewed,1,6348.91,7103.09,SME,SME,Dubai
REN-0000144,POL-000202,CUST-00105,PROD011,2026-01-11,2026-01-30,Customer Cancelled,0,2924.15,0.0,SME,SME,Dubai
REN-0000145,POL-000203,CUST-00106,PROD021,2021-03-27,2021-04-10,Renewed,1,230.03,245.77,Individual,Mass Market,Dubai
REN-0000146,POL-000204,CUST-00107,PROD023,2026-03-25,2026-04-19,Renewed,1,343.38,354.13,Individual,Mass Market,Abu Dhabi
REN-0000147,POL-000206,CUST-00108,PROD024,2025-02-15,2025-02-16,Renewed,1,19413.11,20822.28,SME,SME,Abu Dhabi
REN-0000148,POL-000207,CUST-00108,PROD012,2025-09-01,2025-09-21,Renewed,1,4361.63,4990.02,SME,SME,Abu Dhabi
REN-0000149,POL-000209,CUST-00109,PROD016,2025-10-17,2025-10-22,Renewed,1,1322.98,1433.86,Individual,Mass Market,Dubai
REN-0000150,POL-000210,CUST-00110,PROD019,2024-07-14,2024-07-28,Renewed,1,792.23,868.64,Individual,Mass Market,Dubai
REN-0000151,POL-000211,CUST-00110,PROD023,2026-07-21,2026-08-02,Lost to Competitor,0,488.43,0.0,Individual,Mass Market,Dubai
REN-0000152,POL-000214,CUST-00112,PROD021,2024-06-23,2024-07-21,Customer Cancelled,0,359.13,0.0,Individual,Mass Market,Dubai
REN-0000153,POL-000215,CUST-00112,PROD023,2022-03-19,2022-04-12,Customer Cancelled,0,327.16,0.0,Individual,Mass Market,Dubai
REN-0000154,POL-000216,CUST-00113,PROD003,2021-06-13,2021-06-20,Renewed,1,12845.19,14723.65,Corporate,Corporate,Dubai
REN-0000155,POL-000217,CUST-00113,PROD004,2023-09-27,2023-10-03,Renewed,1,35005.58,36480.53,Corporate,Corporate,Dubai
REN-0000156,POL-000218,CUST-00113,PROD010,2022-04-23,2022-04-25,Not Renewed,0,30532.63,0.0,Corporate,Corporate,Dubai
REN-0000157,POL-000219,CUST-00114,PROD012,2023-12-04,2023-12-20,Renewed,1,2459.74,2741.99,SME,SME,Dubai
REN-0000158,POL-000220,CUST-00114,PROD011,2024-03-31,2024-04-26,Not Renewed,0,5635.74,0.0,SME,SME,Dubai
REN-0000159,POL-000222,CUST-00115,PROD017,2025-05-23,2025-05-13,Renewed,1,1784.73,2026.82,Individual,Mass Market,Dubai
REN-0000160,POL-000231,CUST-00120,PROD019,2025-06-04,2025-05-31,Renewed,1,3950.31,4536.22,Individual,High Net Worth,Dubai
REN-0000161,POL-000233,CUST-00121,PROD011,2024-10-11,2024-10-06,Renewed,1,4065.99,4533.5,SME,SME,Abu Dhabi
REN-0000162,POL-000235,CUST-00122,PROD008,2026-07-01,2026-07-29,Renewed,1,12845.91,13885.23,SME,SME,Abu Dhabi
REN-0000163,POL-000238,CUST-00123,PROD025,2025-06-16,2025-07-14,Renewed,1,378.82,409.93,Individual,Mass Market,Dubai
REN-0000164,POL-000243,CUST-00125,PROD019,2026-06-29,2026-07-16,Renewed,1,1136.45,1248.48,Individual,Mass Market,Dubai
REN-0000165,POL-000246,CUST-00126,PROD019,2026-08-09,2026-08-06,Renewed,1,2357.72,2461.7,Individual,Mass Market,Abu Dhabi
REN-0000166,POL-000247,CUST-00127,PROD008,2020-07-07,2020-06-27,Renewed,1,5129.52,5702.61,SME,SME,Sharjah
REN-0000167,POL-000248,CUST-00127,PROD014,2022-10-10,2022-10-24,Renewed,1,7810.67,8859.11,SME,SME,Sharjah
REN-0000168,POL-000252,CUST-00130,PROD021,2023-08-01,2023-07-27,Customer Cancelled,0,274.5,0.0,Individual,Mass Market,Dubai
REN-0000169,POL-000254,CUST-00131,PROD020,2026-07-15,2026-07-25,Renewed,1,1136.13,1176.13,Individual,Mass Market,Ajman
REN-0000170,POL-000255,CUST-00132,PROD018,2024-06-01,2024-06-27,Renewed,1,2040.12,2163.26,Individual,Mass Market,Abu Dhabi
REN-0000171,POL-000256,CUST-00133,PROD023,2023-08-13,2023-08-20,Renewed,1,526.53,552.83,Individual,Mass Market,Ras Al Khaimah
REN-0000172,POL-000257,CUST-00134,PROD022,2025-11-09,2025-11-13,Renewed,1,545.29,591.39,Individual,Affluent,Sharjah
REN-0000173,POL-000258,CUST-00134,PROD016,2023-05-31,2023-05-23,Renewed,1,1096.85,1248.37,Individual,Affluent,Sharjah
REN-0000174,POL-000259,CUST-00135,PROD006,2021-09-10,2021-09-11,Customer Cancelled,0,38658.27,0.0,Corporate,Corporate,Dubai
REN-0000175,POL-000260,CUST-00135,PROD002,2020-03-08,2020-04-04,Not Renewed,0,29465.49,0.0,Corporate,Corporate,Dubai
REN-0000176,POL-000261,CUST-00135,PROD005,2022-07-13,2022-07-10,Renewed,1,37890.8,39799.04,Corporate,Corporate,Dubai
REN-0000177,POL-000263,CUST-00135,PROD009,2020-09-25,2020-09-22,Renewed,1,16032.44,17193.23,Corporate,Corporate,Dubai
REN-0000178,POL-000264,CUST-00136,PROD023,2022-06-21,2022-07-08,Renewed,1,369.02,396.05,Individual,Mass Market,Dubai
REN-0000179,POL-000266,CUST-00136,PROD017,2025-05-31,2025-06-16,Renewed,1,1195.92,1331.99,Individual,Mass Market,Dubai
REN-0000180,POL-000276,CUST-00141,PROD010,2025-09-06,2025-09-28,Renewed,1,14113.57,15233.41,Corporate,Corporate,Dubai
REN-0000181,POL-000277,CUST-00141,PROD005,2025-05-06,2025-05-24,Renewed,1,35135.43,36751.03,Corporate,Corporate,Dubai
REN-0000182,POL-000278,CUST-00141,PROD015,2023-10-27,2023-10-22,Customer Cancelled,0,82463.09,0.0,Corporate,Corporate,Dubai
REN-0000183,POL-000280,CUST-00141,PROD001,2023-12-12,2023-12-26,Renewed,1,23721.29,25623.48,Corporate,Corporate,Dubai
REN-0000184,POL-000283,CUST-00143,PROD016,2025-05-07,2025-05-01,Renewed,1,2316.29,2393.11,Individual,Mass Market,Dubai
REN-0000185,POL-000284,CUST-00144,PROD023,2023-11-13,2023-11-03,Renewed,1,193.73,210.71,Individual,Mass Market,Ajman
REN-0000186,POL-000285,CUST-00144,PROD025,2024-05-25,2024-05-25,Renewed,1,275.42,303.32,Individual,Mass Market,Ajman
REN-0000187,POL-000286,CUST-00145,PROD018,2025-06-22,2025-07-03,Renewed,1,4532.92,5119.93,Individual,Affluent,Dubai
REN-0000188,POL-000291,CUST-00148,PROD016,2025-04-16,2025-05-08,Renewed,1,1170.07,1270.98,Individual,Affluent,Dubai
REN-0000189,POL-000292,CUST-00148,PROD017,2025-04-29,2025-04-19,Renewed,1,546.55,563.84,Individual,Affluent,Dubai
REN-0000190,POL-000293,CUST-00148,PROD025,2025-06-17,2025-07-04,Customer Cancelled,0,319.29,0.0,Individual,Affluent,Dubai
REN-0000191,POL-000294,CUST-00149,PROD021,2026-01-23,2026-02-19,Renewed,1,857.51,977.2,Individual,Affluent,Dubai
