Lead_ID,Customer_ID,Lead_Date,Lead_Source,Product_Interest,Lead_Status,Quoted_Premium,Converted_Flag,Lead_Year
LEAD-00000030,CUST-09340,2026-02-10,Social Media,Life Insurance,Quoted,17035.84,0,2026
LEAD-00000031,CUST-06547,2026-03-22,Website,SME Insurance,New,17366.16,0,2026
LEAD-00000032,CUST-05760,2025-02-11,Branch,Car Insurance,Quoted,18459.84,0,2025
LEAD-00000033,CUST-14258,2026-03-18,Insurance Broker,Life Insurance,Contacted,4621.39,0,2026
LEAD-00000034,CUST-09209,2024-03-18,Social Media,Travel Insurance,Lost,15937.61,0,2024
LEAD-00000035,CUST-10249,2024-05-22,Email Campaign,Home Insurance,Converted,19562.93,1,2024
LEAD-00000036,CUST-12184,2024-11-26,Google Ads,Cyber Security Insurance,Converted,16824.01,1,2024
LEAD-00000037,CUST-24830,2025-03-24,Branch,Motor Fleet Insurance,New,4271.96,0,2025
LEAD-00000038,CUST-20818,2024-05-16,Website,Motor Fleet Insurance,New,746.46,0,2024
LEAD-00000039,CUST-20878,2024-05-22,Bank Partner,Cyber Security Insurance,Converted,16543.04,1,2024
LEAD-00000040,CUST-11297,2024-09-27,Google Ads,Life Insurance,Quoted,6486.41,0,2024
LEAD-00000041,CUST-18078,2026-07-09,Branch,Life Insurance,Converted,15889.12,1,2026
LEAD-00000042,CUST-16610,2024-06-09,Referral,Car Insurance,New,18144.57,0,2024
LEAD-00000043,CUST-12947,2025-02-15,Bank Partner,Car Insurance,Lost,11907.63,0,2025
LEAD-00000044,CUST-17454,2025-03-16,Website,Motor Fleet Insurance,Lost,8469.53,0,2025
LEAD-00000045,CUST-00302,2026-02-16,Insurance Broker,Car Insurance,New,7850.72,0,2026
LEAD-00000046,CUST-02976,2026-04-10,Website,Business Insurance,Quoted,14380.51,0,2026
LEAD-00000047,CUST-03864,2024-11-28,Insurance Broker,Business Insurance,Contacted,6577.84,0,2024
LEAD-00000048,CUST-10730,2024-06-22,Email Campaign,Motor Fleet Insurance,Quoted,9179.43,0,2024
LEAD-00000049,CUST-21981,2024-07-18,Website,Health Insurance,Converted,22857.04,1,2024
LEAD-00000050,CUST-22010,2024-02-25,Insurance Broker,Home Insurance,Quoted,17638.58,0,2024
LEAD-00000051,CUST-04496,2024-10-31,Email Campaign,SME Insurance,New,14597.96,0,2024
LEAD-00000052,CUST-22304,2024-08-19,Referral,Life Insurance,Qualified,13703.32,0,2024
LEAD-00000053,CUST-17533,2026-03-19,Insurance Broker,Business Insurance,Contacted,1259.22,0,2026
LEAD-00000054,CUST-20239,2023-09-03,Insurance Broker,Travel Insurance,Qualified,19318.84,0,2023
LEAD-00000055,CUST-03052,2026-08-11,Website,Business Insurance,New,13424.46,0,2026
LEAD-00000056,CUST-04143,2024-04-01,Insurance Broker,Home Insurance,New,24247.56,0,2024
LEAD-00000057,CUST-13418,2024-10-28,Website,Life Insurance,Qualified,2237.87,0,2024
LEAD-00000058,CUST-08309,2024-06-16,Website,Travel Insurance,New,22905.78,0,2024
LEAD-00000059,CUST-13408,2025-02-02,Social Media,Travel Insurance,Quoted,13062.4,0,2025
LEAD-00000060,CUST-09663,2025-01-12,Insurance Broker,SME Insurance,New,14281.12,0,2025
LEAD-00000061,CUST-03507,2023-11-23,Google Ads,Travel Insurance,New,7991.91,0,2023
LEAD-00000062,CUST-13246,2023-11-08,Social Media,Travel Insurance,Qualified,4578.09,0,2023
LEAD-00000063,CUST-04453,2026-07-24,Google Ads,Business Insurance,Quoted,1419.01,0,2026
LEAD-00000064,CUST-07391,2024-07-15,Branch,Car Insurance,Qualified,17193.91,0,2024
LEAD-00000065,CUST-19224,2025-09-14,Referral,Car Insurance,Converted,16019.17,1,2025
LEAD-00000066,CUST-00852,2024-09-25,Insurance Broker,Car Insurance,Qualified,13776.73,0,2024
LEAD-00000067,CUST-22117,2023-09-14,Social Media,Health Insurance,New,15570.87,0,2023
LEAD-00000068,CUST-23133,2023-12-20,Google Ads,Health Insurance,Contacted,12552.13,0,2023
LEAD-00000069,CUST-17210,2025-06-29,Google Ads,Motor Fleet Insurance,Converted,7266.25,1,2025
LEAD-00000070,CUST-11658,2025-05-16,Insurance Broker,Life Insurance,Lost,10491.66,0,2025
LEAD-00000071,CUST-05074,2023-11-11,Bank Partner,Cyber Security Insurance,Converted,14178.11,1,2023
LEAD-00000072,CUST-12044,2025-11-10,Bank Partner,Motor Fleet Insurance,Contacted,13497.89,0,2025
LEAD-00000073,CUST-08788,2024-08-17,Website,Life Insurance,Qualified,567.69,0,2024
LEAD-00000074,CUST-07401,2026-06-01,Website,Home Insurance,Quoted,15906.38,0,2026
LEAD-00000075,CUST-21365,2023-08-19,Website,Motor Fleet Insurance,Quoted,5554.38,0,2023
LEAD-00000076,CUST-20021,2025-01-24,Google Ads,Travel Insurance,Qualified,1721.7,0,2025
LEAD-00000077,CUST-04730,2024-08-13,Website,Health Insurance,Lost,17294.34,0,2024
LEAD-00000078,CUST-17338,2025-04-11,Email Campaign,Business Insurance,New,17613.94,0,2025
LEAD-00000079,CUST-06314,2024-01-13,Email Campaign,Health Insurance,New,2395.49,0,2024
LEAD-00000080,CUST-13808,2025-04-03,Social Media,SME Insurance,Lost,18908.44,0,2025
LEAD-00000081,CUST-03142,2025-05-28,Website,SME Insurance,Qualified,22686.95,0,2025
LEAD-00000082,CUST-15486,2026-02-24,Google Ads,Home Insurance,New,3202.9,0,2026
LEAD-00000083,CUST-09577,2023-10-26,Referral,Motor Fleet Insurance,Contacted,7357.09,0,2023
LEAD-00000084,CUST-00824,2024-01-30,Social Media,Business Insurance,Converted,24454.15,1,2024
LEAD-00000085,CUST-22701,2024-05-23,Email Campaign,Business Insurance,Lost,23002.16,0,2024
LEAD-00000086,CUST-13844,2026-06-30,Insurance Broker,Car Insurance,Quoted,14732.56,0,2026
LEAD-00000087,CUST-19088,2025-05-02,Google Ads,Cyber Security Insurance,Qualified,2936.87,0,2025
LEAD-00000088,CUST-20853,2023-10-19,Social Media,Home Insurance,Qualified,9027.8,0,2023
LEAD-00000089,CUST-00540,2024-08-14,Website,Home Insurance,Lost,17544.59,0,2024
LEAD-00000090,CUST-07313,2024-01-30,Website,Life Insurance,Converted,23760.06,1,2024
LEAD-00000091,CUST-16640,2024-09-06,Insurance Broker,Health Insurance,New,21953.54,0,2024
LEAD-00000092,CUST-23803,2024-03-22,Social Media,Cyber Security Insurance,Contacted,20320.67,0,2024
LEAD-00000093,CUST-08416,2026-02-20,Website,Motor Fleet Insurance,Lost,21100.34,0,2026
LEAD-00000094,CUST-13773,2026-05-03,Website,Car Insurance,New,2161.37,0,2026
LEAD-00000095,CUST-12764,2024-09-06,Branch,Business Insurance,Lost,14753.19,0,2024
LEAD-00000096,CUST-03637,2024-10-08,Bank Partner,Life Insurance,Contacted,11428.44,0,2024
LEAD-00000097,CUST-05998,2026-08-15,Branch,Home Insurance,Contacted,16891.01,0,2026
LEAD-00000098,CUST-10016,2026-07-13,Website,Cyber Security Insurance,New,12604.68,0,2026
LEAD-00000099,CUST-10358,2024-07-06,Insurance Broker,Car Insurance,Quoted,14155.17,0,2024
LEAD-00000100,CUST-24286,2024-07-14,Website,SME Insurance,Converted,15621.65,1,2024
LEAD-00000101,CUST-04674,2026-06-02,Social Media,Business Insurance,Quoted,24517.43,0,2026
LEAD-00000102,CUST-09522,2026-05-10,Insurance Broker,Life Insurance,Lost,8901.91,0,2026
LEAD-00000103,CUST-20646,2023-12-06,Email Campaign,SME Insurance,Qualified,17531.75,0,2023
LEAD-00000104,CUST-04893,2024-02-28,Website,Car Insurance,Qualified,6678.64,0,2024
LEAD-00000105,CUST-04165,2025-02-16,Insurance Broker,Health Insurance,Contacted,15945.0,0,2025
LEAD-00000106,CUST-12016,2026-04-27,Google Ads,SME Insurance,Quoted,10187.42,0,2026
LEAD-00000107,CUST-22416,2024-02-28,Social Media,Cyber Security Insurance,Qualified,21895.64,0,2024
LEAD-00000108,CUST-00667,2026-05-15,Branch,Life Insurance,New,4472.7,0,2026
LEAD-00000109,CUST-12892,2024-10-03,Social Media,Travel Insurance,Quoted,13500.26,0,2024
LEAD-00000110,CUST-16908,2025-09-04,Email Campaign,Car Insurance,Qualified,17352.75,0,2025
LEAD-00000111,CUST-23625,2024-06-13,Bank Partner,Motor Fleet Insurance,Quoted,12937.93,0,2024
LEAD-00000112,CUST-12395,2024-05-07,Website,Car Insurance,Contacted,20213.17,0,2024
LEAD-00000113,CUST-14179,2024-08-27,Insurance Broker,Cyber Security Insurance,Qualified,15570.89,0,2024
LEAD-00000114,CUST-08151,2026-05-30,Insurance Broker,Cyber Security Insurance,New,17272.99,0,2026
LEAD-00000115,CUST-17303,2024-07-27,Bank Partner,Health Insurance,Qualified,13455.65,0,2024
LEAD-00000116,CUST-03087,2025-04-18,Social Media,SME Insurance,Contacted,5522.77,0,2025
LEAD-00000117,CUST-24026,2026-04-12,Google Ads,Car Insurance,Contacted,12007.06,0,2026
LEAD-00000118,CUST-07562,2026-06-10,Referral,Health Insurance,New,13566.53,0,2026
LEAD-00000119,CUST-14370,2024-12-01,Bank Partner,Car Insurance,Quoted,9655.68,0,2024
LEAD-00000120,CUST-19124,2025-10-05,Branch,Travel Insurance,Lost,486.1,0,2025
LEAD-00000121,CUST-18118,2024-11-30,Social Media,Cyber Security Insurance,Converted,2281.77,1,2024
LEAD-00000122,CUST-24819,2025-02-19,Website,Home Insurance,Lost,22446.27,0,2025
LEAD-00000123,CUST-08660,2026-06-02,Email Campaign,Business Insurance,Lost,12421.49,0,2026
LEAD-00000124,CUST-14310,2024-01-12,Bank Partner,Health Insurance,Quoted,14418.83,0,2024
LEAD-00000125,CUST-13747,2026-02-24,Bank Partner,Business Insurance,Lost,17860.53,0,2026
LEAD-00000126,CUST-16609,2025-03-02,Social Media,Car Insurance,Quoted,7429.17,0,2025
LEAD-00000127,CUST-01829,2026-03-30,Branch,Life Insurance,New,8614.13,0,2026
LEAD-00000128,CUST-00010,2025-11-28,Google Ads,Health Insurance,Contacted,20303.9,0,2025
LEAD-00000129,CUST-08513,2025-09-21,Bank Partner,Cyber Security Insurance,Quoted,19918.95,0,2025
LEAD-00000130,CUST-09311,2025-10-02,Bank Partner,Health Insurance,New,18352.43,0,2025
LEAD-00000131,CUST-05257,2025-01-05,Website,Car Insurance,Converted,14489.49,1,2025
LEAD-00000132,CUST-05952,2024-03-26,Bank Partner,Life Insurance,New,20420.0,0,2024
LEAD-00000133,CUST-23931,2026-05-30,Insurance Broker,Home Insurance,Contacted,14831.17,0,2026
LEAD-00000134,CUST-10536,2024-12-08,Website,Life Insurance,Quoted,13632.59,0,2024
LEAD-00000135,CUST-04671,2026-03-26,Insurance Broker,Car Insurance,Converted,9782.11,1,2026
LEAD-00000136,CUST-18382,2024-05-17,Email Campaign,Life Insurance,Quoted,10958.75,0,2024
LEAD-00000137,CUST-17587,2025-02-08,Google Ads,Car Insurance,Qualified,22379.15,0,2025
LEAD-00000138,CUST-00420,2026-03-12,Google Ads,Car Insurance,Quoted,19530.73,0,2026
LEAD-00000139,CUST-02337,2026-02-01,Insurance Broker,Travel Insurance,Converted,8749.42,1,2026
LEAD-00000140,CUST-22413,2024-05-23,Email Campaign,Cyber Security Insurance,Quoted,12706.52,0,2024
LEAD-00000141,CUST-20104,2026-06-30,Website,Health Insurance,New,15081.53,0,2026
LEAD-00000142,CUST-10148,2024-06-13,Social Media,Travel Insurance,Converted,23989.15,1,2024
LEAD-00000143,CUST-11112,2025-02-12,Social Media,SME Insurance,Qualified,23697.9,0,2025
LEAD-00000144,CUST-02444,2026-01-10,Insurance Broker,Health Insurance,Quoted,747.32,0,2026
LEAD-00000145,CUST-00828,2024-10-02,Branch,Home Insurance,Lost,19815.09,0,2024
LEAD-00000146,CUST-20261,2026-04-11,Google Ads,Motor Fleet Insurance,Qualified,18490.17,0,2026
LEAD-00000147,CUST-11560,2024-06-28,Website,Travel Insurance,Lost,21020.78,0,2024
LEAD-00000148,CUST-19415,2024-05-13,Website,Business Insurance,Qualified,14904.5,0,2024
LEAD-00000149,CUST-02709,2023-12-21,Bank Partner,Home Insurance,Converted,15211.92,1,2023
LEAD-00000150,CUST-07971,2025-01-18,Website,Business Insurance,Contacted,8869.74,0,2025
LEAD-00000151,CUST-24994,2025-09-03,Website,Life Insurance,Contacted,14567.51,0,2025
LEAD-00000152,CUST-05300,2024-09-05,Google Ads,Car Insurance,Contacted,14640.53,0,2024
LEAD-00000153,CUST-04758,2024-10-19,Google Ads,Travel Insurance,Qualified,24395.87,0,2024
LEAD-00000154,CUST-19817,2024-09-26,Insurance Broker,Business Insurance,New,24922.79,0,2024
LEAD-00000155,CUST-23089,2025-09-23,Insurance Broker,SME Insurance,Qualified,20054.62,0,2025
LEAD-00000156,CUST-02080,2024-10-15,Social Media,Cyber Security Insurance,Quoted,7562.9,0,2024
LEAD-00000157,CUST-05491,2023-11-10,Insurance Broker,Car Insurance,Qualified,14123.12,0,2023
LEAD-00000158,CUST-21311,2024-02-03,Google Ads,Life Insurance,Contacted,6987.39,0,2024
LEAD-00000159,CUST-10094,2026-03-07,Website,SME Insurance,Lost,21042.78,0,2026
LEAD-00000160,CUST-19847,2023-10-19,Google Ads,SME Insurance,Contacted,5143.99,0,2023
LEAD-00000161,CUST-16381,2025-09-22,Google Ads,Travel Insurance,New,16422.83,0,2025
LEAD-00000162,CUST-03055,2026-05-12,Branch,Cyber Security Insurance,Converted,24077.44,1,2026
LEAD-00000163,CUST-22004,2026-03-04,Google Ads,SME Insurance,Converted,621.15,1,2026
LEAD-00000164,CUST-16033,2026-03-18,Email Campaign,Life Insurance,Quoted,10709.19,0,2026
LEAD-00000165,CUST-08706,2024-05-23,Insurance Broker,Health Insurance,Contacted,1145.43,0,2024
LEAD-00000166,CUST-17940,2025-11-28,Website,Motor Fleet Insurance,Qualified,7573.3,0,2025
LEAD-00000167,CUST-22004,2024-04-14,Bank Partner,Car Insurance,Converted,12339.55,1,2024
LEAD-00000168,CUST-24558,2026-04-10,Social Media,Health Insurance,New,6936.33,0,2026
LEAD-00000169,CUST-02600,2025-12-22,Website,Motor Fleet Insurance,New,20922.78,0,2025
LEAD-00000170,CUST-18436,2024-10-19,Insurance Broker,Health Insurance,Contacted,754.25,0,2024
LEAD-00000171,CUST-05476,2026-07-06,Social Media,Car Insurance,Qualified,12587.38,0,2026
LEAD-00000172,CUST-12876,2025-09-08,Google Ads,Motor Fleet Insurance,Contacted,18384.96,0,2025
LEAD-00000173,CUST-14061,2024-05-17,Social Media,Car Insurance,Qualified,9763.52,0,2024
LEAD-00000174,CUST-19066,2026-04-08,Social Media,Car Insurance,New,15197.86,0,2026
LEAD-00000175,CUST-13082,2026-07-18,Website,Cyber Security Insurance,Qualified,22913.19,0,2026
LEAD-00000176,CUST-24763,2024-05-31,Insurance Broker,Business Insurance,Qualified,16692.68,0,2024
LEAD-00000177,CUST-04854,2025-07-06,Referral,Car Insurance,Contacted,13634.12,0,2025
LEAD-00000178,CUST-15827,2024-01-01,Branch,Health Insurance,Quoted,12013.66,0,2024
LEAD-00000179,CUST-02121,2024-09-02,Website,Car Insurance,Qualified,17303.54,0,2024
LEAD-00000180,CUST-22570,2026-07-22,Social Media,Life Insurance,New,357.78,0,2026
LEAD-00000181,CUST-09651,2026-05-06,Insurance Broker,Life Insurance,Contacted,20243.53,0,2026
LEAD-00000182,CUST-06961,2024-01-02,Bank Partner,Motor Fleet Insurance,Qualified,4872.78,0,2024
LEAD-00000183,CUST-01342,2026-01-12,Bank Partner,Travel Insurance,Converted,18185.35,1,2026
LEAD-00000184,CUST-07120,2024-09-05,Branch,Health Insurance,Qualified,5763.87,0,2024
LEAD-00000185,CUST-20378,2025-04-14,Branch,SME Insurance,Lost,14028.42,0,2025
LEAD-00000186,CUST-19542,2025-12-09,Website,Travel Insurance,Converted,5057.2,1,2025
LEAD-00000187,CUST-08008,2024-05-11,Branch,Health Insurance,Converted,1655.6,1,2024
LEAD-00000188,CUST-19427,2025-07-10,Insurance Broker,SME Insurance,New,15027.87,0,2025
LEAD-00000189,CUST-23523,2024-12-04,Google Ads,Health Insurance,Converted,13397.55,1,2024
LEAD-00000190,CUST-20663,2023-12-07,Google Ads,Cyber Security Insurance,Qualified,19830.86,0,2023
LEAD-00000191,CUST-17305,2024-08-24,Insurance Broker,Health Insurance,New,21791.44,0,2024
LEAD-00000192,CUST-04347,2024-07-18,Social Media,Health Insurance,Lost,20029.95,0,2024
LEAD-00000193,CUST-07207,2024-05-24,Website,Car Insurance,Qualified,12152.93,0,2024
LEAD-00000194,CUST-12985,2025-11-17,Email Campaign,Motor Fleet Insurance,Converted,10618.84,1,2025
LEAD-00000195,CUST-03431,2025-09-10,Referral,Car Insurance,New,9059.17,0,2025
LEAD-00000196,CUST-02034,2025-09-26,Referral,Travel Insurance,New,741.49,0,2025
LEAD-00000197,CUST-24558,2025-01-08,Google Ads,Motor Fleet Insurance,Quoted,5690.87,0,2025
LEAD-00000198,CUST-10234,2026-06-16,Social Media,Business Insurance,Lost,22139.71,0,2026
LEAD-00000199,CUST-08203,2023-08-26,Insurance Broker,Motor Fleet Insurance,Converted,1905.16,1,2023
LEAD-00000200,CUST-24212,2024-03-14,Bank Partner,Health Insurance,Qualified,1207.28,0,2024
LEAD-00000201,CUST-10746,2025-11-30,Bank Partner,Travel Insurance,New,24236.83,0,2025
LEAD-00000202,CUST-19121,2023-10-07,Branch,Life Insurance,Converted,17491.71,1,2023
LEAD-00000203,CUST-14552,2026-08-13,Bank Partner,Business Insurance,Quoted,18772.43,0,2026
LEAD-00000204,CUST-04676,2024-01-07,Social Media,Motor Fleet Insurance,New,21349.18,0,2024
LEAD-00000205,CUST-13775,2026-07-07,Branch,Health Insurance,Qualified,9505.41,0,2026
LEAD-00000206,CUST-14664,2024-02-14,Google Ads,Travel Insurance,Lost,1819.47,0,2024
LEAD-00000207,CUST-09517,2026-01-04,Insurance Broker,Life Insurance,Converted,8890.89,1,2026
LEAD-00000208,CUST-06184,2026-01-12,Bank Partner,Cyber Security Insurance,Contacted,4186.31,0,2026
LEAD-00000209,CUST-18089,2024-06-26,Bank Partner,Motor Fleet Insurance,Lost,2914.1,0,2024
LEAD-00000210,CUST-03739,2025-06-20,Social Media,Travel Insurance,Converted,21834.54,1,2025
LEAD-00000211,CUST-16371,2023-09-26,Bank Partner,Travel Insurance,Converted,4270.77,1,2023
LEAD-00000212,CUST-18788,2025-01-04,Insurance Broker,SME Insurance,New,2377.23,0,2025
LEAD-00000213,CUST-09883,2026-07-30,Google Ads,Health Insurance,Quoted,13637.64,0,2026
LEAD-00000214,CUST-01008,2025-05-06,Bank Partner,Motor Fleet Insurance,Lost,8744.24,0,2025
LEAD-00000215,CUST-00572,2025-09-15,Branch,Business Insurance,Lost,17290.78,0,2025
LEAD-00000216,CUST-17650,2024-08-15,Social Media,Business Insurance,Quoted,11997.28,0,2024
LEAD-00000217,CUST-24598,2025-04-29,Google Ads,Health Insurance,Converted,24345.18,1,2025
LEAD-00000218,CUST-24861,2024-08-30,Bank Partner,Life Insurance,Quoted,9775.22,0,2024
LEAD-00000219,CUST-24605,2024-02-21,Bank Partner,Life Insurance,Contacted,325.43,0,2024
LEAD-00000220,CUST-11746,2024-08-08,Branch,Car Insurance,New,21398.98,0,2024
LEAD-00000221,CUST-03343,2024-03-12,Bank Partner,Home Insurance,Converted,19388.72,1,2024
LEAD-00000222,CUST-19540,2023-10-05,Google Ads,Life Insurance,Lost,4031.13,0,2023
LEAD-00000223,CUST-00989,2026-07-26,Email Campaign,Travel Insurance,Quoted,10120.58,0,2026
LEAD-00000224,CUST-05627,2025-01-23,Email Campaign,Health Insurance,Contacted,1069.01,0,2025
LEAD-00000225,CUST-08985,2024-06-15,Website,Cyber Security Insurance,New,5331.42,0,2024
LEAD-00000226,CUST-03677,2025-03-14,Bank Partner,Health Insurance,Converted,15767.64,1,2025
LEAD-00000227,CUST-17344,2024-09-22,Email Campaign,Life Insurance,New,11713.8,0,2024
LEAD-00000228,CUST-15070,2026-01-22,Insurance Broker,Home Insurance,Qualified,5252.96,0,2026
LEAD-00000229,CUST-09209,2024-01-03,Google Ads,Business Insurance,Contacted,14879.52,0,2024
LEAD-00000230,CUST-16968,2025-07-17,Branch,Car Insurance,New,2089.44,0,2025
LEAD-00000231,CUST-17774,2024-12-17,Referral,Motor Fleet Insurance,Converted,19562.32,1,2024
LEAD-00000232,CUST-17163,2026-01-14,Bank Partner,Motor Fleet Insurance,Contacted,24670.57,0,2026
LEAD-00000233,CUST-05792,2025-01-01,Insurance Broker,Home Insurance,Contacted,19462.38,0,2025
LEAD-00000234,CUST-24417,2026-08-14,Insurance Broker,Motor Fleet Insurance,Contacted,1120.12,0,2026
LEAD-00000235,CUST-14452,2024-02-10,Website,Business Insurance,Quoted,17329.78,0,2024
LEAD-00000236,CUST-16370,2026-03-26,Social Media,SME Insurance,Quoted,23803.28,0,2026
LEAD-00000237,CUST-24893,2024-11-19,Google Ads,Business Insurance,Quoted,15439.72,0,2024
LEAD-00000238,CUST-00553,2024-08-30,Email Campaign,Health Insurance,Quoted,19650.54,0,2024
LEAD-00000239,CUST-24827,2025-07-29,Google Ads,Home Insurance,Quoted,15057.65,0,2025
LEAD-00000240,CUST-16406,2025-07-02,Insurance Broker,Motor Fleet Insurance,New,11133.6,0,2025
LEAD-00000241,CUST-15314,2023-11-06,Insurance Broker,Motor Fleet Insurance,Converted,5714.59,1,2023
LEAD-00000242,CUST-20023,2024-07-27,Website,Cyber Security Insurance,Converted,11011.29,1,2024
LEAD-00000243,CUST-16691,2024-02-14,Referral,Travel Insurance,Lost,24377.39,0,2024
LEAD-00000244,CUST-16003,2024-02-04,Social Media,Life Insurance,Contacted,10634.47,0,2024
LEAD-00000245,CUST-13519,2025-08-28,Email Campaign,Car Insurance,Converted,18261.08,1,2025
LEAD-00000246,CUST-00957,2026-07-23,Website,Home Insurance,Converted,19262.78,1,2026
LEAD-00000247,CUST-00956,2026-03-17,Insurance Broker,Life Insurance,Quoted,11133.8,0,2026
LEAD-00000248,CUST-22016,2025-01-15,Insurance Broker,Home Insurance,Qualified,7137.65,0,2025
LEAD-00000249,CUST-17779,2026-02-11,Email Campaign,Life Insurance,Quoted,15899.54,0,2026
LEAD-00000250,CUST-19343,2024-04-01,Bank Partner,Home Insurance,Lost,4738.17,0,2024
LEAD-00000251,CUST-09132,2025-03-08,Branch,SME Insurance,Qualified,2007.58,0,2025
LEAD-00000252,CUST-04649,2025-10-02,Google Ads,Cyber Security Insurance,Quoted,16666.75,0,2025
LEAD-00000253,CUST-03815,2024-04-30,Referral,Motor Fleet Insurance,Lost,6675.9,0,2024
LEAD-00000254,CUST-20741,2025-05-13,Google Ads,SME Insurance,Qualified,6130.45,0,2025
LEAD-00000255,CUST-11971,2024-11-24,Social Media,Motor Fleet Insurance,Qualified,6443.24,0,2024
LEAD-00000256,CUST-13995,2023-12-18,Referral,Business Insurance,New,1205.78,0,2023
LEAD-00000257,CUST-22437,2024-09-28,Referral,Travel Insurance,Converted,17723.02,1,2024
LEAD-00000258,CUST-14136,2026-03-13,Email Campaign,Business Insurance,Contacted,3064.41,0,2026
LEAD-00000259,CUST-20338,2025-09-16,Google Ads,Travel Insurance,Lost,1271.79,0,2025
LEAD-00000260,CUST-06263,2023-09-22,Website,Travel Insurance,New,2851.73,0,2023
LEAD-00000261,CUST-01230,2023-10-15,Google Ads,Travel Insurance,Qualified,17243.4,0,2023
LEAD-00000262,CUST-00126,2026-01-11,Insurance Broker,Motor Fleet Insurance,Quoted,6579.35,0,2026
LEAD-00000263,CUST-06571,2024-02-09,Referral,Home Insurance,New,3578.05,0,2024
LEAD-00000264,CUST-12596,2024-07-31,Referral,Cyber Security Insurance,Lost,2619.35,0,2024
LEAD-00000265,CUST-09992,2024-10-16,Website,Travel Insurance,Lost,6606.07,0,2024
LEAD-00000266,CUST-15553,2025-10-09,Branch,Health Insurance,Contacted,20822.67,0,2025
LEAD-00000267,CUST-00303,2024-08-02,Bank Partner,Cyber Security Insurance,Converted,22991.34,1,2024
LEAD-00000268,CUST-03073,2023-09-04,Referral,Motor Fleet Insurance,New,16548.78,0,2023
LEAD-00000269,CUST-05106,2024-09-11,Google Ads,Motor Fleet Insurance,Converted,24835.42,1,2024
LEAD-00000270,CUST-06925,2025-01-08,Google Ads,Motor Fleet Insurance,New,16367.64,0,2025
LEAD-00000271,CUST-03174,2025-04-09,Branch,Life Insurance,Converted,19128.44,1,2025
LEAD-00000272,CUST-01001,2024-04-17,Email Campaign,Car Insurance,New,13748.88,0,2024
