Customer_ID,Customer_Type,Gender,Age,Nationality,Emirate,Industry,Company_Size,Customer_Segment,Customer_Since,Acquisition_Channel
CUST-00021,Individual,Female,68,Nepalese,Dubai,Individual,,Mass Market,2020-06-24,Direct Online
CUST-00022,Individual,Male,67,British,Dubai,Individual,,High Net Worth,2020-08-06,Corporate Partner
CUST-00023,Individual,Female,65,Indian,Sharjah,Individual,,Affluent,2022-12-02,Insurance Broker
CUST-00024,Individual,Male,48,Emirati,Ras Al Khaimah,Individual,,Affluent,2023-09-28,Insurance Broker
CUST-00025,Individual,Female,61,Other,Dubai,Individual,,Mass Market,2018-11-05,Insurance Agent
CUST-00026,SME,Male,64,Filipino,Dubai,Government,Micro,SME,2023-05-24,Branch
CUST-00027,Individual,Male,67,Filipino,Abu Dhabi,Individual,,High Net Worth,2020-04-23,Insurance Broker
CUST-00028,Individual,Female,66,Egyptian,Dubai,Individual,,Mass Market,2024-09-16,Direct Online
CUST-00029,Individual,Male,67,Bangladeshi,Abu Dhabi,Individual,,Mass Market,2024-02-24,Bank / Bancassurance
CUST-00030,Individual,Female,50,Indian,Dubai,Individual,,Mass Market,2024-08-01,Corporate Partner
CUST-00031,Individual,Male,25,Bangladeshi,Dubai,Individual,,Mass Market,2023-04-04,Corporate Partner
CUST-00032,Individual,Female,28,Egyptian,Abu Dhabi,Individual,,Affluent,2022-03-10,Direct Online
CUST-00033,Individual,Male,32,Nepalese,Umm Al Quwain,Individual,,High Net Worth,2020-06-29,Direct Online
CUST-00034,Corporate,Male,46,Pakistani,Abu Dhabi,Education,Large,Corporate,2022-06-10,Insurance Broker
CUST-00035,Corporate,Male,38,Indian,Umm Al Quwain,Hospitality,Large,Corporate,2023-08-19,Corporate Partner
CUST-00036,SME,Female,51,Egyptian,Sharjah,Travel & Tourism,Micro,SME,2020-12-26,Insurance Broker
CUST-00037,Individual,Male,29,Egyptian,Dubai,Individual,,Mass Market,2025-07-03,Direct Online
CUST-00038,Individual,Male,62,Filipino,Dubai,Individual,,Affluent,2026-01-05,Direct Online
CUST-00039,Individual,Female,48,Filipino,Dubai,Individual,,High Net Worth,2018-09-04,Branch
CUST-00040,Individual,Female,61,Pakistani,Dubai,Individual,,Mass Market,2025-01-27,Insurance Broker
CUST-00041,Individual,Female,40,Sri Lankan,Abu Dhabi,Individual,,Mass Market,2025-06-22,Insurance Broker
CUST-00042,Individual,Female,65,Emirati,Sharjah,Individual,,Mass Market,2019-12-24,Bank / Bancassurance
CUST-00043,Individual,Male,28,Other,Sharjah,Individual,,Mass Market,2024-07-23,Direct Online
CUST-00044,SME,Male,57,Indian,Abu Dhabi,IT & Software,Small,SME,2022-03-20,Insurance Agent
CUST-00045,Individual,Male,38,Pakistani,Abu Dhabi,Individual,,Affluent,2021-07-07,Insurance Agent
CUST-00046,Individual,Male,66,Filipino,Abu Dhabi,Individual,,Mass Market,2020-12-25,Insurance Broker
CUST-00047,Individual,Male,66,Indian,Sharjah,Individual,,Mass Market,2019-12-11,Bank / Bancassurance
CUST-00048,Individual,Female,52,Bangladeshi,Dubai,Individual,,Mass Market,2020-06-13,Insurance Agent
CUST-00049,Individual,Female,41,Pakistani,Abu Dhabi,Individual,,Mass Market,2025-02-11,Corporate Partner
CUST-00050,Individual,Female,41,Egyptian,Fujairah,Individual,,Mass Market,2021-06-25,Direct Online
CUST-00051,Corporate,Female,59,Indian,Abu Dhabi,Real Estate,Large,Corporate,2019-06-28,Insurance Broker
CUST-00052,SME,Female,36,Indian,Abu Dhabi,Education,Small,SME,2019-05-30,Bank / Bancassurance
CUST-00053,Corporate,Male,39,Emirati,Abu Dhabi,Retail,Large,Corporate,2021-11-07,Corporate Partner
CUST-00054,SME,Female,37,Emirati,Dubai,Financial Services,Small,SME,2019-06-11,Direct Online
CUST-00055,Individual,Female,61,Indian,Abu Dhabi,Individual,,Mass Market,2021-09-03,Bank / Bancassurance
CUST-00056,Corporate,Male,40,Nepalese,Ras Al Khaimah,Travel & Tourism,Large,Corporate,2025-10-30,Insurance Broker
CUST-00057,Individual,Male,55,Indian,Dubai,Individual,,Mass Market,2021-07-18,Insurance Broker
CUST-00058,Individual,Male,47,Bangladeshi,Dubai,Individual,,Mass Market,2023-10-03,Bank / Bancassurance
CUST-00059,Individual,Female,64,Bangladeshi,Abu Dhabi,Individual,,Affluent,2020-11-13,Bank / Bancassurance
CUST-00060,Individual,Female,57,Emirati,Dubai,Individual,,Mass Market,2025-06-26,Insurance Agent
CUST-00061,Individual,Male,60,Egyptian,Dubai,Individual,,Mass Market,2018-12-27,Insurance Broker
CUST-00062,Individual,Female,57,Indian,Ras Al Khaimah,Individual,,Mass Market,2024-10-29,Insurance Broker
CUST-00063,SME,Male,51,Nepalese,Abu Dhabi,Professional Services,Micro,SME,2022-07-12,Direct Online
CUST-00064,Individual,Male,28,Pakistani,Abu Dhabi,Individual,,Mass Market,2023-03-08,Bank / Bancassurance
CUST-00065,Individual,Female,48,Indian,Dubai,Individual,,Affluent,2019-09-06,Direct Online
CUST-00066,Individual,Male,40,Other,Dubai,Individual,,Affluent,2026-06-19,Corporate Partner
CUST-00067,Individual,Male,43,Indian,Abu Dhabi,Individual,,Mass Market,2021-11-03,Corporate Partner
CUST-00068,SME,Male,28,Pakistani,Abu Dhabi,Real Estate,Small,SME,2019-04-16,Corporate Partner
CUST-00069,Individual,Female,38,Indian,Abu Dhabi,Individual,,Mass Market,2023-04-26,Branch
CUST-00070,Corporate,Female,51,Sri Lankan,Fujairah,Healthcare,Large,Corporate,2021-02-10,Insurance Broker
CUST-00071,SME,Female,46,Pakistani,Abu Dhabi,Healthcare,Micro,SME,2025-09-03,Direct Online
CUST-00072,Individual,Male,27,Sri Lankan,Abu Dhabi,Individual,,Mass Market,2023-12-20,Insurance Agent
CUST-00073,Individual,Female,40,Other,Dubai,Individual,,Affluent,2023-11-18,Insurance Broker
CUST-00074,SME,Female,43,Indian,Ajman,Healthcare,Small,SME,2026-02-25,Insurance Agent
CUST-00075,Individual,Male,62,Emirati,Dubai,Individual,,Mass Market,2025-12-13,Insurance Broker
CUST-00076,SME,Male,52,British,Sharjah,Manufacturing,Micro,SME,2021-09-11,Insurance Broker
CUST-00077,SME,Female,56,Pakistani,Dubai,Construction,Small,SME,2023-07-13,Direct Online
CUST-00078,Individual,Male,66,Other,Dubai,Individual,,Mass Market,2020-04-03,Direct Online
CUST-00079,Individual,Female,56,Bangladeshi,Abu Dhabi,Individual,,Mass Market,2024-08-12,Insurance Broker
CUST-00080,Individual,Male,47,Other,Abu Dhabi,Individual,,Affluent,2019-03-19,Branch
CUST-00081,SME,Male,37,Bangladeshi,Abu Dhabi,Hospitality,Micro,SME,2019-01-04,Insurance Agent
CUST-00082,Individual,Male,50,Nepalese,Sharjah,Individual,,Mass Market,2024-03-30,Insurance Agent
CUST-00083,Individual,Male,54,Sri Lankan,Abu Dhabi,Individual,,Mass Market,2020-07-23,Corporate Partner
CUST-00084,Individual,Male,24,Indian,Dubai,Individual,,Mass Market,2025-03-12,Bank / Bancassurance
CUST-00085,Individual,Female,45,Bangladeshi,Abu Dhabi,Individual,,Mass Market,2021-01-30,Bank / Bancassurance
CUST-00086,Individual,Male,44,Pakistani,Abu Dhabi,Individual,,Mass Market,2019-04-19,Insurance Broker
CUST-00087,SME,Male,49,Indian,Dubai,Travel & Tourism,Small,SME,2025-11-23,Direct Online
CUST-00088,Individual,Male,36,Sri Lankan,Dubai,Individual,,Mass Market,2020-08-07,Bank / Bancassurance
CUST-00089,SME,Male,51,Bangladeshi,Sharjah,Education,Medium,SME,2025-12-28,Insurance Broker
CUST-00090,Individual,Male,58,Other,Dubai,Individual,,Mass Market,2019-06-24,Direct Online
CUST-00091,Individual,Male,58,Indian,Dubai,Individual,,Mass Market,2021-11-08,Corporate Partner
CUST-00092,Individual,Female,59,Other,Dubai,Individual,,Mass Market,2020-12-25,Direct Online
CUST-00093,SME,Male,27,Indian,Dubai,IT & Software,Micro,SME,2022-06-23,Insurance Agent
CUST-00094,Individual,Female,33,Filipino,Abu Dhabi,Individual,,Mass Market,2024-01-11,Bank / Bancassurance
CUST-00095,SME,Male,42,Bangladeshi,Dubai,Professional Services,Micro,SME,2025-09-18,Corporate Partner
CUST-00096,Individual,Female,67,Pakistani,Abu Dhabi,Individual,,Mass Market,2021-09-21,Direct Online
CUST-00097,Individual,Male,68,Bangladeshi,Sharjah,Individual,,Mass Market,2020-01-02,Bank / Bancassurance
CUST-00098,Individual,Male,56,Sri Lankan,Sharjah,Individual,,High Net Worth,2021-10-08,Insurance Broker
CUST-00099,Individual,Male,67,Bangladeshi,Dubai,Individual,,Mass Market,2021-08-22,Bank / Bancassurance
CUST-00100,Individual,Female,47,Pakistani,Dubai,Individual,,Mass Market,2020-05-26,Insurance Broker
CUST-00101,Individual,Female,24,Emirati,Ras Al Khaimah,Individual,,Mass Market,2024-04-27,Branch
CUST-00102,Individual,Female,33,Indian,Abu Dhabi,Individual,,Mass Market,2020-11-21,Direct Online
CUST-00103,Individual,Male,68,Emirati,Abu Dhabi,Individual,,Affluent,2024-08-03,Insurance Broker
CUST-00104,Individual,Female,47,Indian,Abu Dhabi,Individual,,Affluent,2024-06-07,Insurance Broker
CUST-00105,SME,Male,25,Other,Dubai,Manufacturing,Micro,SME,2024-02-18,Bank / Bancassurance
CUST-00106,Individual,Female,60,Indian,Dubai,Individual,,Mass Market,2019-03-24,Branch
CUST-00107,Individual,Male,22,Indian,Abu Dhabi,Individual,,Mass Market,2023-10-20,Direct Online
CUST-00108,SME,Male,38,Egyptian,Abu Dhabi,Financial Services,Small,SME,2024-01-08,Direct Online
CUST-00109,Individual,Female,22,Indian,Dubai,Individual,,Mass Market,2020-01-28,Bank / Bancassurance
CUST-00110,Individual,Female,34,Filipino,Dubai,Individual,,Mass Market,2023-03-01,Direct Online
CUST-00111,Individual,Male,60,Pakistani,Abu Dhabi,Individual,,Mass Market,2024-10-27,Insurance Agent
CUST-00112,Individual,Male,25,Bangladeshi,Dubai,Individual,,Mass Market,2020-09-13,Insurance Agent
CUST-00113,Corporate,Female,56,British,Dubai,Construction,Large,Corporate,2020-01-04,Bank / Bancassurance
CUST-00114,SME,Female,27,Other,Dubai,IT & Software,Medium,SME,2022-07-21,Branch
CUST-00115,Individual,Female,26,Filipino,Dubai,Individual,,Mass Market,2021-11-05,Insurance Agent
CUST-00116,SME,Male,58,Egyptian,Fujairah,Financial Services,Micro,SME,2020-11-30,Insurance Agent
CUST-00117,SME,Male,26,Egyptian,Dubai,Real Estate,Micro,SME,2026-06-29,Bank / Bancassurance
CUST-00118,Individual,Male,40,Egyptian,Dubai,Individual,,High Net Worth,2024-01-24,Direct Online
CUST-00119,SME,Male,63,Indian,Dubai,IT & Software,Micro,SME,2024-06-22,Insurance Broker
CUST-00120,Individual,Male,67,Filipino,Dubai,Individual,,High Net Worth,2023-05-11,Insurance Agent
CUST-00121,SME,Male,35,Filipino,Abu Dhabi,Manufacturing,Medium,SME,2020-06-27,Insurance Broker
CUST-00122,SME,Female,64,Emirati,Abu Dhabi,Logistics,Micro,SME,2024-06-11,Branch
CUST-00123,Individual,Male,66,Pakistani,Dubai,Individual,,Mass Market,2021-05-18,Insurance Broker
CUST-00124,Individual,Male,23,British,Dubai,Individual,,Affluent,2025-10-15,Bank / Bancassurance
CUST-00125,Individual,Female,34,Indian,Dubai,Individual,,Mass Market,2025-02-26,Branch
CUST-00126,Individual,Male,47,Indian,Abu Dhabi,Individual,,Mass Market,2025-03-21,Insurance Broker
CUST-00127,SME,Male,48,Bangladeshi,Sharjah,Real Estate,Small,SME,2019-02-04,Insurance Agent
CUST-00128,SME,Male,42,Nepalese,Abu Dhabi,Financial Services,Medium,SME,2020-07-26,Insurance Broker
CUST-00129,Individual,Male,54,Indian,Abu Dhabi,Individual,,Affluent,2025-08-11,Branch
CUST-00130,Individual,Male,64,Indian,Dubai,Individual,,Mass Market,2018-11-22,Insurance Broker
CUST-00131,Individual,Male,63,Egyptian,Ajman,Individual,,Mass Market,2025-06-20,Insurance Broker
CUST-00132,Individual,Male,61,Other,Abu Dhabi,Individual,,Mass Market,2021-04-21,Direct Online
CUST-00133,Individual,Male,60,Pakistani,Ras Al Khaimah,Individual,,Mass Market,2022-01-12,Insurance Broker
CUST-00134,Individual,Male,41,Sri Lankan,Sharjah,Individual,,Affluent,2020-11-23,Insurance Broker
CUST-00135,Corporate,Male,50,Egyptian,Dubai,Retail,Large,Corporate,2019-03-08,Insurance Broker
CUST-00136,Individual,Female,45,Pakistani,Dubai,Individual,,Mass Market,2020-05-31,Branch
CUST-00137,Individual,Male,50,Filipino,Ajman,Individual,,Mass Market,2026-05-22,Insurance Agent
CUST-00138,Individual,Female,44,Emirati,Abu Dhabi,Individual,,Mass Market,2023-06-12,Bank / Bancassurance
CUST-00139,Individual,Female,50,Filipino,Abu Dhabi,Individual,,Affluent,2026-01-27,Insurance Agent
CUST-00140,Corporate,Male,59,Egyptian,Sharjah,Professional Services,Large,Corporate,2024-09-22,Bank / Bancassurance
CUST-00141,Corporate,Female,62,Pakistani,Dubai,Construction,Large,Corporate,2021-04-18,Direct Online
CUST-00142,Individual,Male,55,Other,Abu Dhabi,Individual,,Affluent,2020-06-05,Insurance Broker
CUST-00143,Individual,Female,23,Emirati,Dubai,Individual,,Mass Market,2024-03-12,Insurance Broker
CUST-00144,Individual,Female,42,Indian,Ajman,Individual,,Mass Market,2022-11-13,Insurance Agent
CUST-00145,Individual,Male,30,Other,Dubai,Individual,,Affluent,2021-12-26,Insurance Broker
CUST-00146,Individual,Male,54,Filipino,Ajman,Individual,,High Net Worth,2026-02-22,Bank / Bancassurance
CUST-00147,Individual,Female,64,Indian,Abu Dhabi,Individual,,High Net Worth,2026-05-26,Direct Online
CUST-00148,Individual,Female,49,Bangladeshi,Dubai,Individual,,Affluent,2024-02-02,Corporate Partner
CUST-00149,Individual,Male,59,Other,Dubai,Individual,,Affluent,2022-07-10,Direct Online
CUST-00150,Individual,Female,65,Pakistani,Dubai,Individual,,Affluent,2019-11-01,Direct Online
CUST-00151,SME,Female,51,Filipino,Ajman,IT & Software,Small,SME,2020-11-14,Branch
CUST-00152,Individual,Female,29,Indian,Dubai,Individual,,Affluent,2019-10-22,Insurance Broker
CUST-00153,Individual,Male,25,Egyptian,Abu Dhabi,Individual,,Affluent,2020-09-19,Insurance Broker
CUST-00154,Individual,Female,24,Emirati,Dubai,Individual,,Mass Market,2024-12-15,Insurance Broker
CUST-00155,Corporate,Female,30,Filipino,Dubai,Professional Services,Large,Corporate,2023-05-25,Direct Online
CUST-00156,Individual,Female,38,British,Dubai,Individual,,Mass Market,2023-03-16,Insurance Broker
CUST-00157,Individual,Male,25,Bangladeshi,Dubai,Individual,,Mass Market,2020-11-08,Insurance Broker
CUST-00158,SME,Male,31,Bangladeshi,Sharjah,Logistics,Small,SME,2024-12-21,Insurance Broker
CUST-00159,Individual,Female,66,Other,Sharjah,Individual,,Mass Market,2023-08-05,Insurance Broker
CUST-00160,SME,Female,49,Bangladeshi,Abu Dhabi,Retail,Micro,SME,2022-04-07,Insurance Broker
CUST-00161,Individual,Male,59,Bangladeshi,Dubai,Individual,,Mass Market,2026-04-04,Branch
CUST-00162,Individual,Female,46,Indian,Abu Dhabi,Individual,,High Net Worth,2023-08-01,Insurance Broker
CUST-00163,Individual,Male,32,Emirati,Sharjah,Individual,,Affluent,2022-01-06,Branch
CUST-00164,Individual,Male,48,Egyptian,Sharjah,Individual,,Mass Market,2021-09-12,Branch
CUST-00165,Individual,Male,67,Nepalese,Abu Dhabi,Individual,,Mass Market,2020-06-26,Insurance Broker
CUST-00166,SME,Male,37,Other,Abu Dhabi,Retail,Small,SME,2019-10-18,Insurance Broker
CUST-00167,Individual,Female,35,Bangladeshi,Ajman,Individual,,Mass Market,2022-12-15,Insurance Broker
CUST-00168,Individual,Male,54,Indian,Ras Al Khaimah,Individual,,Mass Market,2022-10-26,Branch
CUST-00169,Individual,Female,56,Pakistani,Dubai,Individual,,Mass Market,2019-05-24,Branch
CUST-00170,Individual,Male,25,Emirati,Ajman,Individual,,Mass Market,2025-01-18,Insurance Broker
CUST-00171,Individual,Male,36,Other,Fujairah,Individual,,Affluent,2019-01-08,Direct Online
CUST-00172,Individual,Female,29,Bangladeshi,Abu Dhabi,Individual,,Affluent,2025-12-11,Insurance Broker
CUST-00173,Individual,Female,28,Pakistani,Dubai,Individual,,High Net Worth,2019-07-21,Bank / Bancassurance
CUST-00174,Individual,Male,67,Other,Abu Dhabi,Individual,,Mass Market,2019-12-02,Insurance Broker
CUST-00175,Individual,Male,53,Indian,Sharjah,Individual,,Affluent,2023-12-16,Insurance Broker
CUST-00176,Individual,Male,22,Egyptian,Dubai,Individual,,Mass Market,2019-12-25,Direct Online
CUST-00177,Individual,Male,53,Other,Abu Dhabi,Individual,,Mass Market,2025-05-10,Insurance Broker
CUST-00178,Individual,Male,43,Emirati,Abu Dhabi,Individual,,Mass Market,2024-05-29,Insurance Broker
CUST-00179,Corporate,Male,47,Other,Sharjah,Hospitality,Large,Corporate,2022-03-18,Insurance Agent
CUST-00180,Individual,Male,50,Pakistani,Sharjah,Individual,,Affluent,2023-09-10,Bank / Bancassurance
CUST-00181,Individual,Male,60,Pakistani,Dubai,Individual,,Mass Market,2019-02-28,Insurance Broker
CUST-00182,Individual,Male,34,Emirati,Dubai,Individual,,Mass Market,2021-11-22,Corporate Partner
CUST-00183,Corporate,Female,61,Other,Ras Al Khaimah,Financial Services,Large,Corporate,2021-11-12,Insurance Agent
CUST-00184,SME,Female,49,Egyptian,Sharjah,Manufacturing,Small,SME,2023-09-09,Branch
CUST-00185,Individual,Male,27,Indian,Dubai,Individual,,Affluent,2022-08-08,Insurance Broker
CUST-00186,Individual,Female,28,Indian,Fujairah,Individual,,Mass Market,2023-02-13,Corporate Partner
CUST-00187,SME,Male,62,Pakistani,Abu Dhabi,Manufacturing,Medium,SME,2020-10-04,Direct Online
CUST-00188,Individual,Male,49,British,Dubai,Individual,,Mass Market,2023-04-29,Insurance Broker
CUST-00189,Individual,Male,52,Egyptian,Ajman,Individual,,Mass Market,2025-12-10,Insurance Broker
CUST-00190,Individual,Female,66,Filipino,Dubai,Individual,,Mass Market,2018-09-19,Insurance Broker
CUST-00191,Individual,Female,38,Egyptian,Abu Dhabi,Individual,,Mass Market,2024-05-28,Branch
CUST-00192,SME,Male,32,British,Dubai,Travel & Tourism,Small,SME,2024-10-01,Direct Online
CUST-00193,SME,Male,48,Pakistani,Dubai,Hospitality,Small,SME,2019-08-05,Corporate Partner
CUST-00194,Individual,Male,68,Pakistani,Ajman,Individual,,Mass Market,2024-06-02,Bank / Bancassurance
CUST-00195,Individual,Male,27,Pakistani,Dubai,Individual,,Mass Market,2026-02-22,Direct Online
CUST-00196,Individual,Male,47,Emirati,Dubai,Individual,,Affluent,2023-03-10,Insurance Agent
CUST-00197,SME,Male,61,Pakistani,Sharjah,IT & Software,Small,SME,2025-01-02,Insurance Broker
CUST-00198,SME,Male,29,Emirati,Abu Dhabi,Healthcare,Small,SME,2020-11-20,Insurance Broker
CUST-00199,SME,Male,59,Egyptian,Abu Dhabi,Real Estate,Micro,SME,2025-02-26,Insurance Broker
CUST-00200,SME,Male,31,Filipino,Dubai,Hospitality,Small,SME,2024-01-27,Insurance Broker
CUST-00201,Individual,Male,37,Indian,Dubai,Individual,,Affluent,2021-07-06,Insurance Broker
CUST-00202,Individual,Male,59,Pakistani,Abu Dhabi,Individual,,Affluent,2019-07-27,Direct Online
CUST-00203,Individual,Male,39,Other,Dubai,Individual,,Mass Market,2021-02-11,Bank / Bancassurance
CUST-00204,SME,Male,41,Indian,Dubai,Logistics,Medium,SME,2022-04-26,Branch
CUST-00205,Individual,Female,39,Emirati,Dubai,Individual,,Affluent,2019-12-19,Insurance Agent
CUST-00206,Individual,Male,42,Sri Lankan,Ras Al Khaimah,Individual,,High Net Worth,2022-06-24,Branch
CUST-00207,Individual,Female,32,Emirati,Abu Dhabi,Individual,,Affluent,2018-08-25,Corporate Partner
CUST-00208,Individual,Male,56,Emirati,Ajman,Individual,,Mass Market,2024-10-05,Branch
CUST-00209,Individual,Male,49,Other,Sharjah,Individual,,Affluent,2026-01-26,Bank / Bancassurance
CUST-00210,Individual,Male,52,Sri Lankan,Abu Dhabi,Individual,,Mass Market,2024-09-27,Bank / Bancassurance
CUST-00211,Individual,Male,67,Indian,Dubai,Individual,,Affluent,2020-11-10,Direct Online
CUST-00212,Individual,Male,30,Nepalese,Sharjah,Individual,,Mass Market,2022-11-17,Insurance Agent
CUST-00213,Individual,Female,43,Indian,Abu Dhabi,Individual,,Mass Market,2025-02-06,Direct Online
CUST-00214,Individual,Male,46,Emirati,Sharjah,Individual,,Affluent,2020-02-21,Branch
CUST-00215,Individual,Male,25,Emirati,Dubai,Individual,,Mass Market,2022-12-09,Insurance Broker
CUST-00216,Individual,Male,50,Indian,Abu Dhabi,Individual,,Affluent,2026-05-20,Insurance Broker
CUST-00217,Individual,Male,66,Bangladeshi,Dubai,Individual,,Mass Market,2019-07-11,Insurance Broker
CUST-00218,SME,Female,43,Indian,Abu Dhabi,Professional Services,Small,SME,2026-01-09,Insurance Agent
CUST-00219,Individual,Male,60,Nepalese,Abu Dhabi,Individual,,Affluent,2023-12-09,Direct Online
CUST-00220,SME,Male,28,Pakistani,Dubai,Construction,Medium,SME,2021-02-27,Bank / Bancassurance
CUST-00221,Individual,Male,47,Pakistani,Dubai,Individual,,Mass Market,2025-10-11,Direct Online
CUST-00222,Individual,Female,64,Filipino,Ajman,Individual,,Mass Market,2024-01-21,Corporate Partner
CUST-00223,Individual,Male,26,Bangladeshi,Abu Dhabi,Individual,,Mass Market,2022-12-09,Corporate Partner
CUST-00224,Individual,Male,41,Sri Lankan,Dubai,Individual,,Affluent,2023-10-20,Direct Online
CUST-00225,Individual,Male,61,Indian,Abu Dhabi,Individual,,Mass Market,2020-04-23,Direct Online
CUST-00226,Individual,Female,27,Bangladeshi,Abu Dhabi,Individual,,Affluent,2019-12-02,Insurance Broker
CUST-00227,Corporate,Male,40,Other,Dubai,IT & Software,Large,Corporate,2021-10-19,Insurance Agent
CUST-00228,Individual,Male,66,Other,Abu Dhabi,Individual,,Mass Market,2025-02-08,Corporate Partner
CUST-00229,SME,Male,42,Nepalese,Abu Dhabi,Healthcare,Medium,SME,2019-12-29,Insurance Broker
CUST-00230,Individual,Female,61,Nepalese,Dubai,Individual,,Affluent,2023-03-17,Bank / Bancassurance
CUST-00231,SME,Male,47,Filipino,Dubai,Government,Medium,SME,2025-03-30,Direct Online
CUST-00232,Individual,Male,32,British,Sharjah,Individual,,Mass Market,2026-06-19,Insurance Agent
CUST-00233,Individual,Female,37,Sri Lankan,Abu Dhabi,Individual,,Mass Market,2023-02-17,Corporate Partner
CUST-00234,Individual,Male,37,Other,Dubai,Individual,,High Net Worth,2026-06-07,Insurance Broker
CUST-00235,Individual,Male,45,Emirati,Dubai,Individual,,High Net Worth,2018-08-16,Insurance Broker
CUST-00236,SME,Female,38,Other,Abu Dhabi,Education,Small,SME,2023-09-18,Insurance Agent
CUST-00237,Individual,Female,25,Pakistani,Dubai,Individual,,Mass Market,2021-05-18,Direct Online
CUST-00238,Individual,Female,68,Pakistani,Dubai,Individual,,Mass Market,2022-10-11,Insurance Broker
CUST-00239,Individual,Female,46,Emirati,Dubai,Individual,,Mass Market,2018-10-14,Direct Online
CUST-00240,Individual,Male,68,Filipino,Sharjah,Individual,,Mass Market,2019-07-28,Insurance Broker
CUST-00241,Corporate,Male,56,Indian,Fujairah,Travel & Tourism,Large,Corporate,2026-07-10,Insurance Broker
CUST-00242,Corporate,Male,52,Egyptian,Sharjah,Construction,Large,Corporate,2021-09-15,Insurance Agent
CUST-00243,SME,Male,55,Filipino,Abu Dhabi,Real Estate,Small,SME,2026-02-04,Direct Online
CUST-00244,Individual,Male,50,Pakistani,Dubai,Individual,,Mass Market,2025-09-10,Insurance Broker
CUST-00245,Individual,Female,59,Indian,Abu Dhabi,Individual,,High Net Worth,2025-06-25,Insurance Broker
CUST-00246,Corporate,Male,60,Bangladeshi,Sharjah,Travel & Tourism,Large,Corporate,2021-03-27,Insurance Broker
CUST-00247,Individual,Male,50,Bangladeshi,Sharjah,Individual,,Mass Market,2020-08-27,Branch
CUST-00248,Corporate,Female,61,British,Dubai,Healthcare,Large,Corporate,2019-02-10,Insurance Broker
CUST-00249,Corporate,Male,37,Indian,Sharjah,Financial Services,Large,Corporate,2020-09-01,Insurance Agent
CUST-00250,SME,Female,64,Other,Abu Dhabi,Logistics,Small,SME,2026-02-01,Branch
CUST-00251,Individual,Female,38,Sri Lankan,Dubai,Individual,,Mass Market,2023-06-12,Insurance Agent
CUST-00252,Individual,Female,27,Egyptian,Dubai,Individual,,Mass Market,2019-04-16,Insurance Broker
CUST-00253,SME,Male,29,Bangladeshi,Abu Dhabi,Logistics,Small,SME,2019-05-08,Direct Online
CUST-00254,Individual,Male,25,Indian,Dubai,Individual,,High Net Worth,2024-11-04,Direct Online
CUST-00255,Individual,Male,49,Pakistani,Dubai,Individual,,Mass Market,2022-10-02,Insurance Agent
CUST-00256,Individual,Male,22,Other,Abu Dhabi,Individual,,Mass Market,2025-07-24,Bank / Bancassurance
CUST-00257,Corporate,Male,47,Indian,Dubai,Hospitality,Large,Corporate,2019-03-18,Insurance Agent
CUST-00258,Individual,Female,26,Bangladeshi,Abu Dhabi,Individual,,Affluent,2025-02-02,Insurance Agent
